"Contest ID","Contest Name","Location ID","Total Precincts","Precincts Reporting","Precincts Partially Reporting","Total Votes","Candidate ID","Candidate Name","Candidate Votes","Candidate Vote Percentage"
"359","City of Glenwood North Ward Glenwood","38","2","2","0","6","775","Jimmy Clark","5","83.33"
"359","City of Glenwood North Ward Glenwood","38","2","2","0","6","776","Ricky Lee Driggers","1","16.67"
"361","De Queen Alderman Ward 2 Position 1 City of De Qu","41","5","5","0","958","779","IND Lee Ann Pitchford","510","53.24"
"361","De Queen Alderman Ward 2 Position 1 City of De Qu","41","5","5","0","958","778","IND Elmyra Brown","448","46.76"
"364","City of Booneville, Alderman Ward 3 Pos. 2","66","3","3","0","1115","784","Amanda Farris","559","50.13"
"364","City of Booneville, Alderman Ward 3 Pos. 2","66","3","3","0","1115","785","Andrew Hubble","556","49.87"
"367","City of Bonanza, Alderman Ward 3 Pos. 2","37","5","5","0","219","796","Eugene Hannaman","121","55.25"
"367","City of Bonanza, Alderman Ward 3 Pos. 2","37","5","5","0","219","797","Fred Hanes","55","25.11"
"367","City of Bonanza, Alderman Ward 3 Pos. 2","37","5","5","0","219","795","David Tharp","43","19.63"
"371","CITY CLERK, CITY OF CLARKEDALE City of Clarkedale","10","1","1","0","153","804","Candace Pirani","132","86.27"
